device,sample,times,process,task,step_length,stride_length,left_step_length,right_step_length,left_stride_length,right_stride_length,stride_speed,stride_time,step_width
MOCAP,sample17,time01,back,task_cup,0.5447551920000001,1.093760581,0.5436629266666666,0.5458474573333334,1.0895103840000002,1.1001358765,2.055911692047519,0.532,0.20846822282967029
MOCAP,sample18,time01,back,task_cup,0.4070620905999999,0.8105496003333333,0.4460946132,0.368029568,0.8060813742499999,0.8141241811999999,1.191554537268472,0.6833333333333333,0.19621842661657285
MOCAP,sample19,time01,back,task_cup,0.4695011337777777,0.9476373166249998,0.4649590852499998,0.47313477260000003,0.9325825069999999,0.9626921262499997,1.8351385057596554,0.51875,0.17888200880313207
MOCAP,sample20,time01,back,task_cup,0.5778404875714286,1.1514157783333334,0.5674041953333334,0.58566770675,1.1562627326666668,1.146568824,2.410598774275797,0.4783333333333335,0.1873741885000001
MOCAP,sample21,time01,back,task_cup,0.4046189306666666,0.8123959051249999,0.4047925097499999,0.4044800673999999,0.8110116125,0.8137801977499999,1.2695885209870055,0.6412500000000001,0.19141093544728427
MOCAP,sample22,time01,back,task_cup,0.3864227642727272,0.7676835482000001,0.3534430878,0.4139058279999999,0.7671911166,0.7681759798,1.2389488336878272,0.6210000000000001,0.23071700537652454
MOCAP,sample23,time01,back,task_cup,0.49461935255555545,0.98441753,0.5091582948,0.47644567474999994,0.9898853034999999,0.9789497564999998,1.6918587145050568,0.5824999999999998,0.2171932959918033
MOCAP,sample01,time01,back,task_normal,0.51455609775,1.033077302857143,0.51390886875,0.5152033267499999,1.0291121955,1.0383641126666665,2.0625741054404347,0.5014285714285717,0.19382865298321345
MOCAP,sample02,time01,back,task_normal,0.47960507,0.9587913598571428,0.470194904,0.489015236,0.95921014,0.9582329863333333,1.8423951404951364,0.5228571428571431,0.24770387111238557
MOCAP,sample03,time01,back,task_normal,0.467043174875,0.9467858365714286,0.49134490975000006,0.44274144,0.93408634975,0.9637184856666666,1.7582441003141969,0.5400000000000001,0.18743831781249995
MOCAP,sample04,time01,back,task_normal,0.5773672751666666,1.15601503,0.5569772106666667,0.5977573396666667,1.1579357495,1.1547345503333333,2.2404232411818916,0.5179999999999992,0.20588419326426413
MOCAP,sample05,time01,back,task_normal,0.532296909875,1.0658517470000002,0.486217637,0.57837618275,1.06459381975,1.0675289833333335,2.0491605754488424,0.5214285714285715,0.22739482080243892
MOCAP,sample06,time01,back,task_normal,0.5312418672857143,1.0544691573333334,0.497812602,0.55631381625,1.053703517,1.0552347976666665,1.8470245349760448,0.5716666666666667,0.20985750709046458
MOCAP,sample07,time01,back,task_normal,0.5690676444999999,1.1431275859999999,0.5545405847499999,0.5835947042499999,1.1381352889999998,1.149783982,2.311492797485289,0.49571428571428555,0.21390301969662912
MOCAP,sample08,time01,back,task_normal,0.5605761678571428,1.1306453456666665,0.5453878177499999,0.5808273013333333,1.1299987086666665,1.1312919826666665,2.2944415820531283,0.4933333333333332,0.21506781755337065
MOCAP,sample09,time01,back,task_normal,0.5038644648571429,1.0104395801666666,0.50706464775,0.49959755433333336,1.0259791820000002,0.9948999783333333,1.9695225831840997,0.5133333333333333,0.1945795399946665
MOCAP,sample10,time01,back,task_normal,0.5454126652857144,1.091865921,0.5367640583333333,0.5518991205000001,1.084231847,1.0994999950000002,2.2457398923887784,0.48666666666666664,0.19707916099112432
MOCAP,sample11,time01,back,task_normal,0.5473470948749999,1.096902717285714,0.5395423697499999,0.5551518199999999,1.0998474206666666,1.0946941897499998,2.0509600480042836,0.5371428571428571,0.23799549112318835
MOCAP,sample12,time01,back,task_normal,0.53212849225,1.0698937941428572,0.5197880400000001,0.5444689445,1.0642569845,1.0774095403333332,2.1480046344762647,0.49857142857142883,0.1774771626744791
MOCAP,sample13,time01,back,task_normal,0.5946026313333334,1.1935668107999997,0.613792558,0.5754127046666666,1.2001091329999998,1.1892052626666667,2.0744601065749015,0.5780000000000001,0.2073615666531414
MOCAP,sample14,time01,back,task_normal,0.54047282025,1.101888732857143,0.5594124679999999,0.5215331725,1.0809456405,1.129812856,1.899964246486005,0.5828571428571426,0.20391239640632053
MOCAP,sample15,time01,back,task_normal,0.5418533094285715,1.0893895335000001,0.53486441375,0.5511718369999999,1.0795031403333333,1.0992759266666667,2.3358051021051818,0.4666666666666668,0.21666850915740735
MOCAP,sample16,time01,back,task_normal,0.5068956682499999,1.0093629504285713,0.4877607044999999,0.5260306319999999,1.0034584356666665,1.0137913365,2.150673704139242,0.47000000000000014,0.17801014004249288
MOCAP,sample17,time01,back,task_normal,0.5484111365,1.1031662594285712,0.5626420894999998,0.5341801835000001,1.096822273,1.1116249079999998,1.9764251759504252,0.5585714285714286,0.22018535542827045
MOCAP,sample18,time01,back,task_normal,0.5387366067142857,1.0793031608333334,0.5493217464999999,0.524623087,1.0897925203333332,1.0688138013333335,1.9851703732236496,0.5449999999999999,0.21761482955699474
MOCAP,sample19,time01,back,task_normal,0.5450813184285713,1.0936478525,0.5374255944999999,0.5552889503333333,1.097490036,1.0898056689999998,2.2393123379466613,0.49166666666666686,0.18425947968010756
MOCAP,sample20,time01,back,task_normal,0.578169909,1.1582137386000002,0.5843464356666667,0.5719933823333334,1.156339818,1.1610246195,2.2804925925586543,0.508,0.19920674150316456
MOCAP,sample21,time01,back,task_normal,0.5721328625714285,1.1420546823333335,0.57119543075,0.5733827716666667,1.134385615,1.1497237496666666,2.3794353542615223,0.48166666666666674,0.19323496620991254
MOCAP,sample22,time01,back,task_normal,0.5344945438571428,1.0615913034999997,0.506496277,0.5554932439999999,1.0633952279999999,1.0597873789999996,2.133030480723475,0.4983333333333331,0.2487309684349115
MOCAP,sample23,time01,back,task_normal,0.5931770519999999,1.2010811308333333,0.614788605,0.57696838725,1.1893744656666667,1.212787796,2.244096557739668,0.5366666666666667,0.2079581439105264
MOCAP,sample01,time01,back,task_text,0.4753918498888889,0.95098313325,0.4683816438,0.48415460749999994,0.9476248875,0.9543413789999999,1.7709564683154375,0.5387500000000001,0.18883541313492055
MOCAP,sample02,time01,back,task_text,0.4395326118749999,0.8794490009999999,0.42052332699999995,0.45854189675,0.87906522375,0.879960704,1.5474530974740173,0.5685714285714282,0.27667977499021545
MOCAP,sample03,time01,back,task_text,0.36110926099999996,0.7334157647999999,0.3915877932,0.33571048416666666,0.7241142512,0.7427172784,1.180894923754373,0.6229999999999999,0.21494297681804264
